Projeto,Classe,CBO,DIT,LCOM
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/monostate/src/main/java/com/iluwatar/monostate/LoadBalancer.java,2,3,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/transaction-script/src/main/java/com/iluwatar/transactionscript/HotelDaoImpl.java,10,4,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/health-check/src/main/java/com/iluwatar/health/check/AsynchronousHealthChecker.java,8,9,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/lockable-object/src/test/java/com/iluwatar/lockableobject/SubCreaturesTests.java,0,4,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/master-worker/src/main/java/com/iluwatar/masterworker/Input.java,5,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/fanout-fanin/src/test/java/com/iluwatar/fanout/fanin/AppTest.java,0,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/bridge/src/main/java/com/iluwatar/bridge/SoulEatingEnchantment.java,1,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/virtual-proxy/src/test/java/com/iluwatar/virtual/proxy/RealVideoObjectTest.java,0,3,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/retry/src/main/java/com/iluwatar/retry/BusinessException.java,7,0,3
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/context-object/src/main/java/com/iluwatar/context/object/ServiceContext.java,6,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/subclass-sandbox/src/main/java/com/iluwatar/subclasssandbox/Superpower.java,3,1,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/value-object/src/test/java/com/iluwatar/value/object/HeroStatTest.java,0,1,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/session-facade/src/main/java/com/iluwatar/sessionfacade/App.java,0,1,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/converter/src/main/java/com/iluwatar/converter/UserConverter.java,2,3,2
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/retry/src/main/java/com/iluwatar/retry/Retry.java,2,3,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/business-delegate/src/test/java/com/iluwatar/business/delegate/BusinessDelegateTest.java,0,7,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/observer/src/test/java/com/iluwatar/observer/WeatherTest.java,0,7,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/spatial-partition/src/main/java/com/iluwatar/spatialpartition/Bubble.java,7,3,2
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/dependency-injection/src/test/java/com/iluwatar/dependency/injection/AppTest.java,0,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/microservices-client-side-ui-composition/src/main/java/com/iluwatar/clientsideuicomposition/FrontendComponent.java,4,1,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/model-view-viewmodel/src/test/java/com/iluwatar/model/view/viewmodel/BookTest.java,0,4,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/flux/src/main/java/com/iluwatar/flux/action/ContentAction.java,4,3,2
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/step-builder/src/main/java/com/iluwatar/stepbuilder/CharacterStepBuilder.java,0,8,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/factory-kit/src/main/java/com/iluwatar/factorykit/WeaponType.java,2,0,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/specification/src/test/java/com/iluwatar/specification/creature/CreatureTest.java,0,13,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/prototype/src/main/java/com/iluwatar/prototype/App.java,0,11,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/identity-map/src/main/java/com/iluwatar/identitymap/IdNotFoundException.java,3,0,4
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/version-number/src/main/java/com/iluwatar/versionnumber/VersionMismatchException.java,1,0,3
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/observer/src/test/java/com/iluwatar/observer/generic/ObserverTest.java,2,9,1
